Region              Country                                 # of Properties     
Africa              Kenya                                   5                   
Africa              Mauritius                               2                   
Africa              Morocco                                 4                   
Africa              South Africa                            34                  
Asia                Cambodia                                1                   
Asia                India                                   12                  
Asia                Indonesia                               23                  
Asia                Malaysia                                3                   
Asia                Nepal                                   2                   
Asia                Philippines                             24                  
Asia                Sri Lanka                               17                  
Asia                Thailand                                30                  
Europe              Austria                                 7                   
Europe              Belgium                                 10                  
Europe              Bulgaria                                16                  
Europe              Croatia                                 21                  
Europe              Czech Republic                          16                  
Europe              England                                 54                  
Europe              Estonia                                 3                   
Europe              France                                  221                 
Europe              Germany                                 21                  
Europe              Greece                                  68                  
Europe              Hungary                                 24                  
Europe              Ireland                                 16                  
Europe              Italy                                   221                 
Europe              Latvia                                  3                   
Europe              Lithuania                               1                   
Europe              Malta                                   10                  
Europe              Montenegro                              3                   
Europe              Netherlands                             7                   
Europe              Norway                                  1                   
Europe              Poland                                  13                  
Europe              Portugal                                34                  
Europe              Romania                                 1                   
Europe              Scotland                                50                  
Europe              Spain                                   103                 
Europe              Switzerland                             4                   
Europe              Ukraine                                 3                   
Europe              Wales                                   5                   
Middle East         Cyprus                                  15                  
Middle East         Egypt                                   2                   
Middle East         Israel                                  1                   
Middle East         Turkey                                  28                  
North America       Bahamas                                 14                  
North America       Barbados                                5                   
North America       Belize                                  10                  
North America       Canada                                  76                  
North America       Costa Rica                              35                  
North America       Dominica                                4                   
North America       Dominican Republic                      5                   
North America       French Caribbean                        5                   
North America       Guatemala                               11                  
North America       Jamaica                                 12                  
North America       Mexico                                  63                  
North America       Netherlands Caribbean                   6                   
North America       Nicaragua                               3                   
North America       Panama                                  14                  
North America       Saint Kitts and Nevis                   1                   
North America       St Lucia                                5                   
North America       St Vincent and the Grenadines           7                   
North America       Trinidad and Tobago                     5                   
North America       UK Caribbean                            18                  
North America       US Caribbean                            21                  
North America       USA                                     290                 
Oceania             Australia                               34                  
Oceania             Cook Islands                            1                   
Oceania             Fiji                                    4                   
Oceania             French Polynesia                        1                   
Oceania             New Zealand                             45                  
South America       Argentina                               12                  
South America       Brazil                                  9                   
South America       Colombia                                3                   
South America       Peru                                    7                   
